Age,Income,HouseholdSize,CityAreaSize,MeanCityIncome,MeanCityHousePrize,MeanCityHouseHoldSize,MeanCitySqFtPrice,NumberCars,InternetTrafficVolume,MortageVolume,AccountSpending,CreditCardSpending,HelpHotlineTime,CustomerSince,GrocerySpending,StockVolume,CreditVolume,NASDAQInvest,USAXSFundInvest,BranchVisits,AppLogins,ATMVisits,TimeOnlineBanking,ServiceFees,SocialMediaInter,Bitcoins,NFTs
40,79623,2,454686,90668,1849978,3,3813,2,58,430299,938.233325185016,1418.4174598156,3.21517500970483,36,433.193297611396,1118.46036041626,809.045777289926,1487.86959429397,475.749271282771,3,10,9,71.5488136668774,41.8329326054455,27,0.0032,2
37,71616,5,452465,156742,1849599,5,5264,2,36,378228,1128.08307575563,693.516150155662,3.44351042135088,36,594.00103929616,1391.72059685209,802.602539538749,1504.13666533756,490.258292308896,4,19,8,67.1372249692473,52.1673326076815,25,0.0037,1
71,78524,1,456594,52484,1849953,3,3405,1,57,282232,930.630133611637,1281.3682237584,2.47017187657704,36,573.857012309522,1117.44284220796,790.646205056531,1500.00618583266,464.773521946682,3,14,8,58.9003676734855,54.6307652277142,28,0.0136,1
53,69938,3,456594,118422,1849302,4,2141,0,71,394235,1001.70905277589,1134.87013665699,5.90416164014001,36,560.813983004209,1354.41289431435,780.290451609396,1496.44913120558,488.041838604182,4,14,8,60.9602720118441,41.8069925869379,34,0.0016,1
40,74244,1,452004,36227,1849247,6,2160,1,39,350471,1170.8374521142,1108.7374113143,5.10004414557544,37,309.019078462393,1037.33261840166,803.994703297214,1500.09748681256,450.313755303025,3,16,9,67.1540671620405,57.1319253171332,34,0.0075,0
32,75738,7,456143,91296,1849755,3,4686,1,52,331681,932.014495822959,941.724895491389,6.23535713656255,36,565.434916925149,1555.77938660883,794.853248588418,1501.49606801711,568.159115141231,4,13,8,56.0770464383012,57.0506438099455,24,0.003,3
72,74816,5,463071,106445,1849963,2,4012,2,62,350163,1133.31538270614,859.508034939724,3.32864603869361,37,317.435405718872,1215.91728740711,794.923889154716,1496.96200185008,537.160093064967,3,11,9,69.1064657030885,21.8081785624265,21,0.0076,2
29,72334,3,456844,43453,1849975,6,3897,3,41,436763,868.00085570975,1064.64505143062,3.15772980510176,36,536.554465860002,1105.43809821797,795.414788667919,1493.75400627752,486.018310961276,3,16,7,63.5135754591166,24.520729188011,32,0.0055,4
55,77992,2,455962,156272,1849634,3,2433,3,65,216903,827.418249468372,1093.5373763668,3.42008356147925,36,437.262391438646,1697.54132323417,795.977238016916,1497.38934732323,522.930842089566,4,20,8,75.8836053809107,28.8608991971057,28,0.0036,3
38,73186,3,456032,46232,1849832,2,3410,0,67,250300,865.940973820632,1339.27202825942,2.99289139030394,36,367.883928131844,1052.36074079337,797.228462029723,1484.95153952375,513.202143108927,4,8,7,56.6875905433639,27.9952492174332,24,0.0026,1
37,72475,1,453998,210661,1849643,4,3891,1,24,376077,1088.76833422823,847.861908172841,4.41747094370945,37,284.277650134673,1368.7614298356,798.278724714793,1489.53489413901,488.533778712704,3,17,8,54.8345319332236,22.2734730210761,18,0.0047,1
37,82306,5,456068,199557,1849703,4,5330,1,64,315346,1012.82401808985,892.95460294388,5.2630626962457,36,599.29958102801,1238.0118055892,806.876580587535,1490.70072282023,466.769402706825,3,15,8,71.4270451588284,37.1787394362952,32,0.006,2
34,79869,2,451668,108244,1849648,3,3726,2,85,462886,1013.806242494,1503.4885988094,2.40828177964481,36,327.400542831404,1411.48955886255,786.879052798921,1515.31298739098,547.017998167171,3,10,8,60.3494757381567,36.9034472480066,28,0.0028,1
35,71690,3,456859,136019,1849657,4,3477,3,32,486538,1165.84684845953,984.408709596997,3.4444457988446,36,511.169350934417,1019.93282239206,787.895257984185,1499.54959358681,432.580716041685,4,15,8,70.8466392272388,25.3135705734875,35,0.0132,6
60,74576,4,451444,140040,1849536,5,5320,1,50,303332,1134.80376854346,936.081063447851,3.74952604660904,35,826.780533447347,1175.66308719602,802.299538686696,1498.61820284348,512.866431833034,2,20,9,63.0625423918238,37.6367384041893,32,0.0061,3
55,74816,4,457903,114952,1849542,5,2916,1,99,240459,1069.74207380282,1134.78526841362,4.33028343621634,36,754.070316550219,1240.38011002681,788.57015920052,1488.13714102281,539.665840671611,2,18,8,66.0605016796678,18.6200516816644,26,0.0021,0
46,71338,5,450491,154440,1849874,4,4755,3,46,276739,1063.29303572151,1339.78215360738,2.87859890960388,36,494.189499993387,1572.21356142933,799.235418208104,1486.83441171783,432.311465951748,4,7,8,69.3817798728405,23.3053389094028,29,0.0109,3
52,69718,2,456119,143556,1849888,2,3109,0,79,302281,961.908476359554,1142.93648905736,5.44872700271774,35,295.525714604829,1361.43919758735,802.397544372128,1511.04174075888,455.21241144117,1,20,8,63.8823489522601,18.6331645961604,35,0.001,4
43,83982,4,462511,52460,1849994,4,3500,2,52,272593,905.987300724395,1248.88472360721,4.79511890114837,36,421.083394517074,1046.59335677922,790.976310795196,1493.11629603698,516.259732862985,3,13,8,52.8079977467971,12.5804971241649,38,4E-04,3
42,82548,3,453715,37722,1849933,2,3263,0,58,430750,1099.914414329,654.535653027564,3.898400713966,36,375.646657308239,1444.91214555168,803.861537152768,1503.93798333658,546.090643983941,4,18,9,65.9159628167587,23.0113266995461,48,0.0065,4
57,77872,3,457498,37381,1849976,7,2714,0,76,455780,1010.69641148777,1157.73857615385,3.84593539988541,36,690.070780876038,1314.45273041066,806.807317131924,1487.82714093127,511.103060008742,1,21,9,65.5805081049252,21.1733705180169,25,6E-04,1
32,73957,1,450041,121635,1849999,1,3461,3,65,276801,923.509217715586,908.076127609892,4.84183496447016,36,527.160364913853,1371.87472478188,769.434866714733,1498.6197724609,506.650011978379,3,11,8,58.7993410771272,57.5296176312148,24,0.0068,0
69,77278,1,450880,63880,1849785,4,5215,0,55,310321,1082.54093259156,664.675342808202,3.68828062509807,36,372.385800204169,1293.58643161798,798.482613963292,1490.40962648646,543.285193691091,3,17,7,64.6429307213016,66.358450579571,27,5E-04,1
61,88588,3,452820,166840,1849908,3,3493,2,45,215725,1007.69850876988,1276.8294448746,3.92688454346214,36,261.38539862932,1670.56658838559,817.273502926215,1500.0055138153,487.25673701199,3,22,8,71.9493034275307,31.2747112760584,20,0.0021,3
30,58662,3,457448,76431,1849568,7,4066,3,56,343859,1038.28178457843,750.044340678921,1.29960825586546,36,337.291812559954,1008.47486000643,804.931948341462,1495.52778638234,502.1632624857,3,16,7,65.3638916121586,41.384394119105,32,1E-04,3
39,83830,7,465924,199988,1849529,3,2205,1,72,361890,1001.7441512122,679.807263740488,5.82816301649261,35,336.880644967949,1224.9276659267,781.973731962485,1482.22655239716,550.147373360947,3,17,8,58.2209630330061,32.5369358953561,15,0.005,0
45,81244,2,451996,124322,1849859,7,4161,2,52,382383,1054.50727053384,1073.83726581535,3.75435345864668,36,661.635802884143,1201.03449382611,783.479954096004,1513.0032743638,508.769129923891,3,16,8,62.7563742499242,36.7893560862456,31,0.0109,4
46,77598,1,450921,194186,1849805,4,2874,3,31,328652,1054.70630198097,1348.03187373721,7.03979231058285,35,397.749257704474,1813.85006436525,792.199157973655,1496.13025904158,544.060243358151,4,7,7,64.1515877333232,54.9463229936529,28,7E-04,1
67,77886,3,451450,62181,1849990,3,2732,2,68,393920,875.100857762016,1137.95197638348,4.64734699086224,36,446.960924452343,1231.5107323044,807.267618488705,1477.70881556951,437.967441361005,3,10,8,71.9714652909275,32.1293804679748,28,0.0028,1
32,70646,1,454187,104991,1849925,5,2678,2,54,273774,1020.33753269211,1262.30478535567,2.37756082895067,36,493.931828690996,1220.63818381494,807.533201719142,1492.03622288714,557.113786511639,3,14,8,59.8898778425498,34.0009043775518,25,0.0106,2
44,70685,4,458339,72885,1849707,3,2159,0,50,389957,988.171171490294,1039.46618813152,5.14486765454075,36,283.987212826818,1481.9292612372,781.654523339066,1505.78415509588,546.077213294954,2,14,8,56.1803678169968,7.47828023763225,11,0.012,1
54,68880,5,456746,224049,1849928,2,3165,2,98,333549,1175.56783783627,1019.94382734305,4.94191065210264,36,450.054526638172,1095.40762977392,795.094104737103,1505.27580812034,506.325785611672,3,20,8,61.2406479692067,32.3184081916671,17,0.0036,1
38,66883,3,450519,94097,1849832,2,3240,2,46,228797,970.946116763836,985.638153882503,7.76245057201281,36,648.872558475517,1099.6647448637,792.03005562383,1502.36288097867,555.194353286169,4,21,7,66.9650257905772,17.9869090443239,24,0.0068,4
36,71467,4,450822,168481,1849991,5,2532,1,98,335605,1034.79124307911,1024.61382516205,3.78478221398272,36,472.194517202465,1130.86776897487,790.11641738615,1509.7386649076,539.210101786513,2,16,8,67.633041059899,10.0347239618227,31,0.007,2
36,77417,2,450163,106639,1849910,3,3662,1,11,373694,927.333243853187,904.92730536377,3.53036790184353,36,301.678785441182,1268.79367213415,800.436543859254,1482.47119679906,486.996540504371,3,15,8,69.763064369362,27.201447475754,26,8E-04,0
49,79851,3,450446,125105,1849563,3,4458,0,36,251756,1101.23035216417,516.377750337922,4.65679173801693,36,225.494892552378,1316.34192363397,775.157987130189,1495.90989766563,553.151458754716,3,17,8,71.1046230884846,69.0868855009076,32,0.002,3
56,77364,2,451610,117746,1849782,4,5195,1,52,352776,1124.08710497095,1372.09199221353,2.00290388540292,36,366.371927364664,1521.52724042034,791.010853484639,1510.27034440085,446.247251844287,3,24,8,64.2177061772658,34.9882948977585,28,1E-04,1
45,76599,2,453918,212054,1849589,6,2280,3,30,295484,1034.05038938076,1202.21746976271,3.039093731858,35,464.79278738485,1208.65916125152,805.438316538442,1489.66932575008,510.162031695954,4,15,8,69.8707784337834,45.1291429523679,28,0.0032,2
46,75150,6,452732,90573,1849523,5,4435,1,39,342714,939.638325586424,1228.52595269801,4.1330400713649,36,435.900874384484,1177.79202496443,795.427294260869,1491.93881069291,368.894506969277,2,20,7,60.8459852524876,40.857633075852,28,0.0094,5
54,75080,5,451224,209926,1849961,7,2540,0,69,314750,1097.73273356675,931.182195816647,3.66339844760668,36,322.242366009849,1176.19861489667,811.217461234228,1492.08954858027,543.397274580139,4,16,8,71.5238261222665,41.6200861008516,35,0.0057,5
41,59104,2,452961,104038,1849995,1,4059,3,37,426182,990.091813241887,1380.72804800245,4.4044877985022,35,709.896038906819,1223.27438741574,787.027292136823,1492.04645230662,440.058988087969,4,19,8,69.7212821810723,54.3801068809073,42,0.0084,3
34,77941,5,455168,134169,1849561,6,5112,1,21,460133,1174.42610550165,876.015815107,5.13384506095186,35,569.638547379294,1085.52108110569,805.127258893433,1502.85159662089,518.155550919023,4,8,8,61.6217997400435,26.6243883104803,1,0.0043,0
63,76811,4,453866,125654,1849996,1,2599,2,34,269994,1010.38765687797,1028.16607649014,3.05566603904383,35,601.94791465636,1002.96754211537,806.373914361915,1498.24695552574,513.596603340259,3,15,8,58.0650848426839,17.3134474546634,13,0.0058,1
37,82076,1,455029,150257,1849853,6,2970,2,57,434896,836.772834685871,678.865452346672,3.00605688295233,36,345.806702488685,1092.62138316944,809.352920540625,1492.23410194886,480.745043073478,2,18,8,66.3967059397886,34.2032595419474,43,0.0052,3
54,82180,4,451860,68270,1849953,7,5422,2,56,314024,900.561563987895,726.833376773095,4.31046859287812,36,336.219747517574,1126.79098071749,805.162025638193,1509.97369519192,518.206772131635,2,17,8,63.9257057392751,35.1121734667553,33,0.0085,2
